ArtigoID;Result
ART_004;requote (force=True, placeholder=False, old_mr=1.00, new_mr=1.00, n=8)
ART_009;requote (force=True, placeholder=False, old_mr=1.00, new_mr=1.00, n=8)
ART_011;requote (force=True, placeholder=False, old_mr=1.00, new_mr=1.00, n=8)
ART_014;requote (force=True, placeholder=False, old_mr=1.00, new_mr=1.00, n=8)
ART_016;requote (force=True, placeholder=False, old_mr=1.00, new_mr=1.00, n=8)
ART_017;requote (force=True, placeholder=False, old_mr=1.00, new_mr=1.00, n=8)
ART_021;requote (force=True, placeholder=False, old_mr=1.00, new_mr=1.00, n=8)
ART_022;requote (force=True, placeholder=False, old_mr=1.00, new_mr=1.00, n=8)
ART_024;requote (force=True, placeholder=False, old_mr=1.00, new_mr=1.00, n=8)
ART_025;requote (force=True, placeholder=False, old_mr=1.00, new_mr=1.00, n=8)
ART_028;requote (force=True, placeholder=False, old_mr=1.00, new_mr=1.00, n=8)
ART_032;requote (force=True, placeholder=False, old_mr=1.00, new_mr=1.00, n=8)
ART_034;requote (force=True, placeholder=False, old_mr=1.00, new_mr=1.00, n=8)
ART_038;requote (force=True, placeholder=False, old_mr=1.00, new_mr=1.00, n=8)
